DigitalClickTime,GazeTime,GazeDistance,TargetX,TargetY
881.7595,38.2568,-0.044531234,0.31558919,0.426250726
616.1844,0.0325,-1.0,0.546102703,0.7949970359999999
497.3799,0.0284,-1.0,0.269486487,0.7949970359999999
672.4967,272.1994,0.482861086,0.361691892,0.278752208
520.2196,0.0,0.18438265,0.592205405,0.426250726
475.3609,278.3345,0.125378266,0.361691892,0.426250726
475.6227,0.0,0.286375761,0.5,0.131253719
466.5169,195.355,0.097216129,0.546102703,0.5
553.8677,0.0,0.24658205100000002,0.31558919,0.20500296399999998
461.2538,192.4327,0.009487605,0.407794595,0.35250148200000003
461.5845,0.0,0.18492351399999998,0.592205405,0.278752208
436.9878,0.069,-5.5700000000000005e-05,0.546102703,0.5
511.1047,0.0,0.18213370199999998,0.6383081079999999,0.131253719
535.3016,235.36900000000003,0.35589968,0.407794595,0.647498488
528.0893,0.0328,-0.083505043,0.45389729700000003,0.5737492439999999
485.5231,0.0273,-1.0,0.592205405,0.5
503.0862,0.0386,-0.017908886000000002,0.546102703,0.426250726
544.1306,0.0283,-1.0,0.592205405,0.7949970359999999
554.5221,0.0,0.366613529,0.407794595,0.426250726
483.36,0.0,0.27681185,0.31558919,0.20500296399999998
881.7595,38.2568,-0.044531234,0.31558919,0.426250726
616.1844,0.0325,-1.0,0.546102703,0.7949970359999999
497.3799,0.0284,-1.0,0.269486487,0.7949970359999999
672.4967,272.1994,0.482861086,0.361691892,0.278752208
520.2196,0.0,0.18438265,0.592205405,0.426250726
475.3609,278.3345,0.125378266,0.361691892,0.426250726
475.6227,0.0,0.286375761,0.5,0.131253719
466.5169,195.355,0.097216129,0.546102703,0.5
553.8677,0.0,0.24658205100000002,0.31558919,0.20500296399999998
461.2538,192.4327,0.009487605,0.407794595,0.35250148200000003
461.5845,0.0,0.18492351399999998,0.592205405,0.278752208
436.9878,0.069,-5.5700000000000005e-05,0.546102703,0.5
511.1047,0.0,0.18213370199999998,0.6383081079999999,0.131253719
535.3016,235.36900000000003,0.35589968,0.407794595,0.647498488
528.0893,0.0328,-0.083505043,0.45389729700000003,0.5737492439999999
485.5231,0.0273,-1.0,0.592205405,0.5
503.0862,0.0386,-0.017908886000000002,0.546102703,0.426250726
544.1306,0.0283,-1.0,0.592205405,0.7949970359999999
554.5221,0.0,0.366613529,0.407794595,0.426250726
483.36,0.0,0.27681185,0.31558919,0.20500296399999998
881.7595,38.2568,-0.044531234,0.31558919,0.426250726
616.1844,0.0325,-1.0,0.546102703,0.7949970359999999
497.3799,0.0284,-1.0,0.269486487,0.7949970359999999
672.4967,272.1994,0.482861086,0.361691892,0.278752208
520.2196,0.0,0.18438265,0.592205405,0.426250726
475.3609,278.3345,0.125378266,0.361691892,0.426250726
475.6227,0.0,0.286375761,0.5,0.131253719
466.5169,195.355,0.097216129,0.546102703,0.5
553.8677,0.0,0.24658205100000002,0.31558919,0.20500296399999998
461.2538,192.4327,0.009487605,0.407794595,0.35250148200000003
461.5845,0.0,0.18492351399999998,0.592205405,0.278752208
436.9878,0.069,-5.5700000000000005e-05,0.546102703,0.5
511.1047,0.0,0.18213370199999998,0.6383081079999999,0.131253719
535.3016,235.36900000000003,0.35589968,0.407794595,0.647498488
528.0893,0.0328,-0.083505043,0.45389729700000003,0.5737492439999999
485.5231,0.0273,-1.0,0.592205405,0.5
503.0862,0.0386,-0.017908886000000002,0.546102703,0.426250726
544.1306,0.0283,-1.0,0.592205405,0.7949970359999999
554.5221,0.0,0.366613529,0.407794595,0.426250726
483.36,0.0,0.27681185,0.31558919,0.20500296399999998
881.7595,38.2568,-0.044531234,0.31558919,0.426250726
616.1844,0.0325,-1.0,0.546102703,0.7949970359999999
497.3799,0.0284,-1.0,0.269486487,0.7949970359999999
672.4967,272.1994,0.482861086,0.361691892,0.278752208
520.2196,0.0,0.18438265,0.592205405,0.426250726
475.3609,278.3345,0.125378266,0.361691892,0.426250726
475.6227,0.0,0.286375761,0.5,0.131253719
466.5169,195.355,0.097216129,0.546102703,0.5
553.8677,0.0,0.24658205100000002,0.31558919,0.20500296399999998
461.2538,192.4327,0.009487605,0.407794595,0.35250148200000003
461.5845,0.0,0.18492351399999998,0.592205405,0.278752208
436.9878,0.069,-5.5700000000000005e-05,0.546102703,0.5
511.1047,0.0,0.18213370199999998,0.6383081079999999,0.131253719
535.3016,235.36900000000003,0.35589968,0.407794595,0.647498488
528.0893,0.0328,-0.083505043,0.45389729700000003,0.5737492439999999
485.5231,0.0273,-1.0,0.592205405,0.5
503.0862,0.0386,-0.017908886000000002,0.546102703,0.426250726
544.1306,0.0283,-1.0,0.592205405,0.7949970359999999
554.5221,0.0,0.366613529,0.407794595,0.426250726
483.36,0.0,0.27681185,0.31558919,0.20500296399999998
814.5149,481.3143,0.36796731299999996,0.6383081079999999,0.5737492439999999
474.5867,25.3792,0.079391114,0.68441081,0.721247792
740.785,0.0334,-0.037145882000000005,0.592205405,0.721247792
489.8767,0.0325,-1.0,0.6383081079999999,0.35250148200000003
394.1168,0.0283,-1.0,0.5,0.5737492439999999
463.2184,0.0338,-1.0,0.6383081079999999,0.7949970359999999
525.1732,0.0287,-1.0,0.31558919,0.426250726
445.4309,0.0283,-1.0,0.31558919,0.278752208
507.7727,0.0278,-1.0,0.6383081079999999,0.721247792
620.9989,0.0282,-1.0,0.45389729700000003,0.426250726
414.1505,0.0296,-1.0,0.6383081079999999,0.5737492439999999
501.5235,0.1604,-1.0,0.31558919,0.20500296399999998
465.3244,0.03,-1.0,0.361691892,0.20500296399999998
438.4473,0.0693,-1.0,0.361691892,0.278752208
468.36699999999996,0.1223,-1.0,0.31558919,0.7949970359999999
625.4501,0.0304,-1.0,0.68441081,0.278752208
464.083,0.067,-1.0,0.592205405,0.721247792
475.0274,0.0,0.292742369,0.546102703,0.426250726
448.3134,245.1069,0.08657193,0.6383081079999999,0.721247792
503.3767,485.2865,0.229634256,0.361691892,0.426250726
1144.2747,694.0945,0.460465471,0.269486487,0.5737492439999999
770.9463,0.0,0.49213208700000005,0.6383081079999999,0.131253719
562.7952,248.4417,0.38703102799999994,0.407794595,0.721247792
490.2808,317.8419,0.008048809,0.546102703,0.721247792
462.6644,32.1656,0.0265399,0.592205405,0.721247792
501.3442,0.0,0.352560879,0.45389729700000003,0.35250148200000003
